MM,MM_ReasonForExclusion,CRJ_after_cleaning,CRJ,CRJ_ReasonForExlcusion,Consensus,Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
No,Review,No,No,Review,1,0,"A Alkhachroum, K Terilli, M Megjhani, S Park",Harnessing Big Data in Neurocritical Care in the Era of Precision Medicine,2020,… TREATMENT OPTIONS IN …,Springer,https://link.springer.com/content/pdf/10.1007/s11940-020-00622-8.pdf,,593,2020-07-21 11:39:01,PDF,,,0,0,0,4,1,"… Ayham Alkhachroum, Kalijah Terilli and Murad Megjhani contributed equally to this work. This article is part of the Topical Collection on Critical Care Neurology Keywords Machine learning I Artificial intelligence I Neurocritical care I Big data I Precision medicine Abstract …"
No,Preprint,No,No,"Review, Preprint",1,0,"A Allam, M Dittberner, A Sintsova, D Brodbeck…",Patient Similarity Analysis with Longitudinal Health Data,2020,arXiv preprint arXiv …,arxiv.org,https://arxiv.org/abs/2005.06630,,586,2020-07-21 11:39:01,,,,0,0,0,5,1,"… For example, Chan and colleagues73 presented a “similarity-based” machine learning approach for outcome prediction in hepatocellular carcinoma (HCC … hours of a ICU stay, and a SVAR-based model of heart rate and blood pressure improves sepsis detection when combined …"
No,Out of scope: Septic shock and mortality,No,No,"Out of scope: Circulatory and septic shock, missing definition of septic shock",1,7,"A Aushev, VR Ripoll, A Vellido, F Aletti, BB Pinto…",Feature selection for the accurate prediction of septic and cardiogenic shock ICU mortality in the acute phase,2018,PloS one,journals.plos.org,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0199089,"https://scholar.google.com/scholar?cites=14797196298516298394&as_sdt=2005&sciodt=0,5&hl=en",479,2020-07-21 11:39:01,HTML,,,7,3.5,1,6,2,"… Affiliation Intelligent Data Engineering and Artificial Intelligence (IDEAI) Research Center, Computer Science, Universitat Politècnica de Catalunya … Missing data imputation techniques and machine learning models were used, followed by feature selection from different data …"
No,Not peer reviewed,No,No,"Not peer reviewed, website",1,0,A Bacelar,Machine learning y pacientes críticos,,planetachatbot.com,,https://planetachatbot.com/machine-learning-pacientes-criticos-6b2ccbb5af50,,141,2020-07-21 11:39:01,HTML,,,0,0,0,1,,"… Ann Am Thoracic Soc. 2018; 15(70):846. SHIMABUKURO DW, et al. Effect of a machine learning-based severe sepsis prediction algorithm on patient survival and hospital length of stay: a randomised clinical trial. BMJ Open Respir Res. 2017; 4(1): e234. VRANAS KC, et al …"
No,Review,No,No,Review,1,1,"A Baldominos, A Puello, H Oğul, T Aşuroğlu…",Predicting Infections Using Computational Intelligence–A Systematic Review,2020,IEEE …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8990083/,"https://scholar.google.com/scholar?cites=223612506597297759&as_sdt=2005&sciodt=0,5&hl=en",123,2020-07-21 11:39:01,,,,1,1,0,5,1,"… they discussed future trends and impact of automated big data approaches for sepsis detection … FIGURE 5. Distribution of most common machine learning classification techniques over most common … For sepsis prediction, LR and SVM are preferred with similar prevalence …"
No,Out of scope: nursing home,No,No,Out of scope: Infection prediction,1,1,"A Baldominos, H Ogul, R Colomo-Palacios…",Infection prediction using physiological and social data in social environments,2020,Information Processing …,Elsevier,https://www.sciencedirect.com/science/article/pii/S0306457319313664,"https://scholar.google.com/scholar?cites=793383715939851987&as_sdt=2005&sciodt=0,5&hl=en",246,2020-07-21 11:39:01,HTML,,,1,1,0,4,1,"… Meanwhile, the number of works involving the application of machine learning is much more reduced, and in most … 2017), who studied the effect on hospital length and patient survival in the context of severe sepsis detection … (2008), who tackled sepsis prediction in intensive …"
No,Out of scope: nursing home,No,No,"Duplicate of Baldominos et al, 2019",1,1,"A Baldominos, H Oğul…",Infection Diagnosis using Biomedical Signals in Small Data Scenarios,2019,2019 IEEE 32nd …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8787405/,"https://scholar.google.com/scholar?cites=8656278555567903493&as_sdt=2005&sciodt=0,5&hl=en",159,2020-07-21 11:39:01,,,,1,1,0,3,1,"… [20], who studied the effect on patient survival and hospital length when using a severe sepsis detection algorithm … [22], who tackled sepsis prediction in intensive … adjust model parameters [16], [18], [19], although this process is not suitable for all machine learning techniques …"
No,Out of scope: detection of bacteria,No,No,Out of scope: Infection prediction,1,0,"A Chaidaroglou, E Manoli, A Gouziouta, P Gourzi…",Clinical impact of a multiplex real-time PCR assay (SeptiFast®) for the rapid detection of pathogens in patients with end-stage heart failure bridged to heart …,2010,Critical Care,Springer,https://link.springer.com/article/10.1186/cc9133,,573,2020-07-21 11:39:01,,,,0,0,0,5,10,"… A LogitBoost algorithm was used to create a machine-learning diagnostic rule in which to predict sepsis outcomes … Using subsets of these biomarkers in the MT-PCR assay, the ROC AUC for sepsis prediction was between 85 and 90 …"
No,Out of scope: Septic Shock,No,No,Out of scope: Septic Shock,1,1,"A Darwiche, S Mukherjee",Machine learning methods for septic shock prediction,2018,… on Artificial Intelligence and Virtual Reality,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3293663.3293673,"https://scholar.google.com/scholar?cites=11131781089896749264&as_sdt=2005&sciodt=0,5&hl=en",117,2020-07-21 11:39:01,,,,1,0.5,1,2,2,… Automated electronic medical record sepsis detection in the emergency department … Prediction of hospital outcome in septic shock: a prospective comparison of tissue Doppler … Machine learning techniques for diagnostic differentiation of mild cognitive impairment and dementia …
No,Out of scope: Circadian Rhythm,No,No,Out of scope: Circadian rhythm,1,2,"A Davoudi, DB Corbett…",Activity and circadian rhythm of sepsis patients in the intensive care unit,2018,2018 IEEE EMBS …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8333359/,"https://scholar.google.com/scholar?cites=13031518833933640700&as_sdt=2005&sciodt=0,5&hl=en",440,2020-07-21 11:39:01,,,,2,1,1,3,2,… Automated electronic medical record sepsis detection in the emergency department. PeerJ. 2014;2:e343 … Prediction of Sepsis in the Intensive Care Unit With Minimal Electronic Health Record Data: A Machine Learning Approach. JMIR Medical Informatics. 2016;4(3):e28 …
